Lot,Wafer,diex,diey,measurement,LotWaferID (2),group (of 4),group (of 9),group (of 16),group (of 25),group (of 36),group (of 49),group (of 64),group (of 81),group (of 100),group (of 121),group (of 144),Pattern,LotWaferID
1,wafer-01,5,14,2.42E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,5,15,1.84E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,5,16,3.75E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,5,17,1.47E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,5,18,-1.91E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,6,12,-9.22E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,6,13,1.93E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,6,14,-1.04E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,6,15,-1.93E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,6,16,1.61E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,6,17,1.32E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,6,18,-1.56E-09,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,6,19,-9.02E-09,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,6,20,2.43E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,7,11,2.37E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,7,12,2.74E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,7,13,3.43E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,7,14,-6.51E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,7,15,-1.90E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,7,16,-1.78E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,7,17,-7.84E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,7,18,-1.83E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,7,19,-3.08E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,7,20,-2.84E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,7,21,-4.56E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,8,10,4.75E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,8,11,-7.55E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,8,12,3.17E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,8,13,-2.21E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,8,14,-3.87E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,8,15,-3.81E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,8,16,-3.25E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,8,17,-3.02E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,8,18,-2.11E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,8,19,-1.18E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,8,20,-1.80E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,8,21,-1.96E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,8,22,-2.86E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,9,10,3.05E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,9,11,-2.65E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,9,12,-1.94E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,9,13,-3.17E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,9,14,-1.38E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,9,15,-8.11E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,9,16,-8.69E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,9,17,-1.80E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,9,18,-6.29E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,9,19,4.21E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,9,20,-2.15E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,9,21,-2.76E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,9,22,-2.33E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,10,9,2.23E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,10,10,2.43E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,10,11,1.64E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,10,12,6.82E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,10,13,2.44E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,10,14,2.95E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,10,15,1.20E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,10,16,1.41E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,10,17,2.01E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,10,18,1.46E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,10,19,3.43E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,10,20,-3.94E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,10,21,-5.74E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,10,22,9.19E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,10,23,-2.81E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,11,8,-1.39E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,11,9,-2.82E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,11,10,-2.59E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,11,11,2.41E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,11,12,-3.65E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,11,13,-2.74E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,11,14,-1.94E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,11,15,2.81E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,11,16,3.78E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,11,17,4.47E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,11,18,-3.00E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,11,19,-7.88E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,11,20,-2.80E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,11,21,-2.39E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,11,22,-5.15E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,11,23,-3.84E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,11,24,-1.03E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,12,8,1.28E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,12,9,-9.72E-10,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,12,10,2.13E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,12,11,-2.39E-09,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,12,12,1.46E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,12,13,1.73E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,12,14,-1.07E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,12,15,9.18E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,12,16,2.79E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,12,17,1.82E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,12,18,6.95E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,12,19,-1.18E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,12,20,4.77E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,12,21,1.17E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,12,22,-1.57E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,12,23,-6.82E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,12,24,-3.24E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,13,7,4.88E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,13,8,2.00E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,13,9,3.16E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,13,10,1.98E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,13,11,-2.06E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,13,12,-7.13E-09,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,13,13,1.65E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,13,14,-2.31E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,13,15,-1.79E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,13,16,-4.67E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,13,17,-2.10E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,13,18,1.04E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,13,19,2.72E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,13,20,2.78E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,13,21,-4.83E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,13,22,-3.08E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,13,23,-2.64E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,13,24,-5.52E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,13,25,-3.42E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,14,7,1.12E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,14,8,1.65E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,14,9,1.65E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,14,10,-1.23E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,14,11,-6.07E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,14,12,-1.07E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,14,13,-2.78E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,14,14,-2.57E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,14,15,-1.27E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,14,16,-2.48E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,14,17,1.45E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,14,18,2.36E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,14,19,1.46E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,14,20,-2.89E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,14,21,-9.24E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,14,22,1.10E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,14,23,2.69E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,14,24,3.39E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,14,25,1.51E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,15,7,-3.62E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,15,8,-1.30E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,15,9,-2.05E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,15,10,-3.00E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,15,11,-1.19E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,15,12,-3.07E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,15,13,-3.64E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,15,14,-1.98E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,15,15,3.56E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,15,16,-2.20E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,15,17,-1.35E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,15,18,-3.35E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,15,19,-1.27E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,15,20,-1.01E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,15,21,-2.06E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,15,22,-2.39E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,15,23,-3.50E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,15,24,-2.35E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,15,25,-7.17E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,16,6,-2.74E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,16,7,-3.82E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,16,8,-3.82E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,16,9,-4.82E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,16,10,-5.22E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,16,11,-8.54E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,16,12,-6.92E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,16,13,-7.13E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,16,14,-5.79E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,16,15,-3.20E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,16,16,-2.60E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,16,17,-6.04E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,16,18,-5.24E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,16,19,-4.01E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,16,20,-4.66E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,16,21,6.16E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,16,22,-1.01E-09,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,16,23,-8.69E-09,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,16,24,-5.55E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,16,25,-2.27E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,16,26,-6.30E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,17,6,-1.99E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,17,7,9.14E-08,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
1,wafer-01,17,8,2.01E-07,1-wafer-01,1,4,11,16,26,23,56,32,62,96,127,Untagged,1-wafer-01
